name,code
Miles Mikolas,mikolmi01
Chris Bassitt,bassich01
Dylan Cease,ceasedy01
Gerrit Cole,colege01
Zac Gallen,galleza01
Logan Webb,webblo01
Sandy Alcantara,alcansa01
José Berríos,berrijo01
Corbin Burnes,burneco01
Luis Castillo,castilu02
Patrick Corbin,corbipa01
Kyle Gibson,gibsoky01
Lucas Giolito,giolilu01
Sonny Gray,grayso01
Mitch Keller,kellemi03
Dean Kremer,kremede01
Pablo López,lopezpa01
Jesús Luzardo,luzarje01
Aaron Nola,nolaaa01
Johan Oviedo,oviedjo01
Blake Snell,snellbl01
Zach Eflin,eflinza01
Bryce Elder,elderbr01
Kyle Freeland,freelky01
Kevin Gausman,gausmke01
Logan Gilbert,gilbelo01
Austin Gomber,gombeau01
Josiah Gray,grayjo03
Andrew Heaney,heanean01
Rich Hill,hillri01
Yusei Kikuchi,kikucyu01
Lance Lynn,lynnla01
Jordan Montgomery,montgjo01
Charlie Morton,mortoch02
Clarke Schmidt,schmicl01
JP Sears,searsjp01
Brady Singer,singebr01
Spencer Strider,stridsp01
Framber Valdez,valdefr01
Taijuan Walker,walketa01
Zack Wheeler,wheelza01
Trevor Williams,willitr01
Graham Ashcraft,ashcrgr01
Alex Cobb,cobbal01
Braxton Garrett,garrebr01
MacKenzie Gore,gorema01
Cristian Javier,javiecr01
George Kirby,kirbyge01
Michael Kopech,kopecmi01
Jordan Lyles,lylesjo01
Freddy Peralta,peralfr01
Justin Steele,steelju01
Kyle Bradish,bradiky01
Hunter Brown,brownhu01
Reid Detmers,detmere01
Jack Flaherty,flaheja01
Jon Gray,grayjo02
Merrill Kelly,kellyme01
Max Scherzer,scherma01
Kodai Senga,sengako01
Jameson Taillon,taillja01
Brayan Bello,bellobr01
Yu Darvish,darviyu01
Michael Lorenzen,lorenmi01
Ryne Nelson,nelsory01
Joe Ryan,ryanjo04
Patrick Sandoval,sandopa02
Tyler Anderson,anderty01
Tanner Bibee,bibeeta01
Zack Greinke,greinza01
Shohei Ohtani,ohtansh01
Marcus Stroman,stromma01
Seth Lugo,lugose01
Bailey Ober,oberba01
Drew Smyly,smylydr01
Justin Verlander,verlaju01
Luke Weaver,weavelu01
Logan Allen,allenlo02
Dane Dunning,dunnida01
Jake Irvin,irvinja01
Clayton Kershaw,kershcl01
Shane McClanahan,mcclash01
Tylor Megill,megilty01
Bryce Miller,millebr04
Eduardo Rodriguez,rodried05
Julio Urías,uriasju01
Carlos Carrasco,carraca01
Nathan Eovaldi,eovalna01
J.P. France,francjp01
